 660310772;2111110100001       
 660605083;1104899             
 660410295;1104897             
 660410274;1104887             
 660410291;1104885             
 660410290;1104885             
 660605078;1104884             
 660410271;1104883             
 660410250;1104880             
 660410243;1104879             
 660410238;1104875             
 660410294;1104875             
 660410241;1104873             
 660410122;1104871             
 660410121;1104855             
 660409193;32871000100000      
 660409192;32871100100000      
 660409167;1104820             
 660409191;32861000100000      
 660409189;32861100100000      
 660930420;1104817             
 660410293;1104782             
 660410178;1104781             
 660410125;1104781             
 660410124;1104781             
 660930063;1104781             
 660930111;1104777             
 660930057;1104776             
 660930056;1104776             
 660930038;1104774             
 660410164;32741000100000      
 660410236;1104744             
 660410975;1104720             
 660410269;1104716             
 660410974;1104714             
 660410972;1104707             
 660410957;1104698             
 660410952;1104695             
 660410949;1104693             
 660410156;32621000100000      
 660410154;32561000100002      
 660410146;32561000100000      
 660410262;1104669             
 660410252;1104669             
 660410256;1104669             
 660410232;1104667             
 660410235;1104667             
 660410292;1104665             
 660930093;1104665             
 660409054;1104654             
 660409051;1104653             
 660409050;1104652             
 660930547;1104651             
 660410288;1104591             
 660410225;32530000100000      
 660410211;1104585             
 660410282;1104583             
 660410266;1104582             
 660410253;1104580             
 660409219;1104579             
 660410257;1104576             
 660410247;1104575             
 660410246;1104571             
 660410120;1104569             
 660410118;1104568             
 660410117;1104567             
 660410115;1104566             
 660409215;1104564             
 660410114;1104563             
 660410112;1104561             
 660410111;1104560             
 660410109;1104559             
 660410108;1104558             
 660410107;1104556             
 660410105;1104555             
 660410104;1104554             
 660410102;1104553             
 660410101;1104552             
 660410100;1104551             
 660410098;1104549             
 660410097;1104548             
 660410095;1104547             
 660410094;1104546             
 660410092;1104545             
 660605098;1104533             
 660409164;1104531             
 660410030;1104522             
 660410029;1104521             
 660410027;32511000100002      
 660410026;32511000100001      
 660410025;32511000100000      
 660410083;1104504             
 660410082;1104504             
 660410081;1104501             
 660410080;1104500             
 660410017;32501000100000      
 660410016;32491000100000      
 660410015;32481000100000      
 660410008;32451000100000      
 660410239;1104493             
 660409069;32420000100000      
 660409068;32411000100000      
 660409067;32410000100000      
 660409065;32401200100000      
 660409063;32401000100000      
 660409062;32401000100000      
 660410234;1104460             
 660409059;1104459             
 660409049;1104457             
